Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,Month,Day,Points
2024-08-17,Valencia,Barcelona,1,2,A,2024,8,17,3
2024-08-24,Barcelona,Ath Bilbao,2,1,H,2024,8,24,3
2024-08-27,Vallecano,Barcelona,1,2,A,2024,8,27,3
2024-08-31,Barcelona,Valladolid,7,0,H,2024,8,31,3
2024-09-15,Girona,Barcelona,1,4,A,2024,9,15,3
2024-09-22,Villarreal,Barcelona,1,5,A,2024,9,22,3
2024-09-25,Barcelona,Getafe,1,0,H,2024,9,25,3
2024-09-28,Osasuna,Barcelona,4,2,H,2024,9,28,0
2024-10-06,Alaves,Barcelona,0,3,A,2024,10,6,3
2024-10-20,Barcelona,Sevilla,5,1,H,2024,10,20,3
2024-10-26,Real Madrid,Barcelona,0,4,A,2024,10,26,3
2024-11-03,Barcelona,Espanol,3,1,H,2024,11,3,3
2024-11-10,Sociedad,Barcelona,1,0,H,2024,11,10,0
2024-11-23,Celta,Barcelona,2,2,D,2024,11,23,1
2024-11-30,Barcelona,Las Palmas,1,2,A,2024,11,30,0
2024-12-03,Mallorca,Barcelona,1,5,A,2024,12,3,3
2024-12-07,Betis,Barcelona,2,2,D,2024,12,7,1
2024-12-15,Barcelona,Leganes,0,1,A,2024,12,15,0
2024-12-21,Barcelona,Ath Madrid,1,2,A,2024,12,21,0
2025-01-18,Getafe,Barcelona,1,1,D,2025,1,18,1
2025-01-26,Barcelona,Valencia,7,1,H,2025,1,26,3
2025-02-02,Barcelona,Alaves,1,0,H,2025,2,2,3
2025-02-09,Sevilla,Barcelona,1,4,A,2025,2,9,3
2025-02-17,Barcelona,Vallecano,1,0,H,2025,2,17,3
2025-02-22,Las Palmas,Barcelona,0,2,A,2025,2,22,3
2025-03-02,Barcelona,Sociedad,4,0,H,2025,3,2,3
2025-03-16,Ath Madrid,Barcelona,2,4,A,2025,3,16,3
2025-03-27,Barcelona,Osasuna,3,0,H,2025,3,27,3
2025-03-30,Barcelona,Girona,4,1,H,2025,3,30,3
2025-04-05,Barcelona,Betis,1,1,D,2025,4,5,1
2025-04-12,Leganes,Barcelona,0,1,A,2025,4,12,3
2025-04-19,Barcelona,Celta,4,3,H,2025,4,19,3
2025-04-22,Barcelona,Mallorca,1,0,H,2025,4,22,3
2025-05-03,Valladolid,Barcelona,1,2,A,2025,5,3,3
2025-05-11,Barcelona,Real Madrid,4,3,H,2025,5,11,3
2025-05-15,Espanol,Barcelona,0,2,A,2025,5,15,3
2025-05-18,Barcelona,Villarreal,2,3,A,2025,5,18,0
