Dorsal,Jugador,Posición,Edad,Nacionalidad(es),Altura,Pie Dominante,Fecha de Fichaje,Procedencia,Contrato Hasta,Valor de Mercado
1,Marc-André ter Stegen,Portero,33,Alemania,1.87,Derecho,01/07/2014,Borussia Mönchengladbach,30/06/2028,"15,00 mill. €"
13,Iñaki Peña,Portero,26,España,1.84,Derecho,30/01/2022,FC Barcelona B,30/06/2026,"10,00 mill. €"
25,Wojciech Szczesny,Portero,35,Polonia,1.95,Derecho,02/10/2024,Inactivo,30/06/2025,"1,00 mill. €"
2,Pau Cubarsí,Defensa central,18,España,1.84,Derecho,01/01/2024,FC Barcelona Atlètic,30/06/2029,"70,00 mill. €"
4,Ronald Araujo,Defensa central,26,Uruguay,1.92,Derecho,05/10/2020,FC Barcelona B,30/06/2031,"50,00 mill. €"
15,Andreas Christensen,Defensa central,29,Dinamarca,1.87,Derecho,04/07/2022,Chelsea FC,30/06/2026,"15,00 mill. €"
24,Eric García,Defensa central,24,España,1.82,Derecho,01/07/2021,Manchester City,30/06/2026,"15,00 mill. €"
5,Iñigo Martínez,Defensa central,34,España,1.82,Izquierdo,05/07/2023,Athletic Club,30/06/2026,"5,00 mill. €"
3,Alejandro Balde,Lateral izquierdo,21,España,1.75,Izquierdo,01/07/2022,FC Barcelona Atlètic,30/06/2028,"60,00 mill. €"
35,Gerard Martín,Lateral izquierdo,23,España,1.86,Izquierdo,01/07/2024,FC Barcelona Atlètic,30/06/2028,"7,50 mill. €"
23,Jules Koundé,Lateral derecho,26,Francia,1.81,Derecho,28/07/2022,Sevilla FC,30/06/2027,"60,00 mill. €"
32,Héctor Fort,Lateral derecho,18,España,1.85,Derecho,01/07/2024,FC Barcelona Atlètic,30/06/2026,"10,00 mill. €"
17,Marc Casadó,Pivote,21,España,1.72,Derecho,01/07/2024,FC Barcelona Atlètic,30/06/2028,"30,00 mill. €"
28,Marc Bernal,Pivote,28,España,1.91,Izquierdo,01/07/2024,FC Barcelona Atlètic,30/06/2026,"5,00 mill. €"
8,Pedri,Mediocentro,22,España,1.74,Derecho,02/09/2019,UD Las Palmas,30/06/2030,"120,00 mill. €"
6,Gavi,Mediocentro,20,España,1.73,Derecho,01/07/2021,FC Barcelona Juvenil A,30/06/2030,"70,00 mill. €"
21,Frenkie de Jong,Mediocentro,28,Países Bajos,1.81,Derecho,01/07/2019,Ajax de Ámsterdam,30/06/2026,"45,00 mill. €"
20,Dani Olmo,Mediocentro ofensivo,27,España,1.79,Derecho,09/08/2024,RB Leipzig,30/06/2030,"60,00 mill. €"
16,Fermín López,Mediocentro ofensivo,22,España,1.74,Derecho,01/07/2023,FC Barcelona Atlètic,30/06/2029,"50,00 mill. €"
14,Pablo Torre,Mediocentro ofensivo,22,España,1.73,Derecho,01/07/2022,Real Racing Club,30/06/2026,"7,50 mill. €"
11,Raphinha,Extremo izquierdo,28,Brasil,1.76,Izquierdo,13/07/2022,Leeds United,30/06/2028,"80,00 mill. €"
10,Ansu Fati,Extremo izquierdo,22,España,1.78,Derecho,23/09/2020,FC Barcelona B,30/06/2027,"5,00 mill. €"
19,Lamine Yamal,Extremo derecho,17,España,1.81,Izquierdo,01/07/2023,FC Barcelona Juvenil A,30/06/2031,"180,00 mill. €"
7,Ferran Torres,Delantero centro,25,España,1.84,Derecho,01/01/2022,Manchester City,30/06/2027,"28,00 mill. €"
9,Robert Lewandowski,Delantero centro,36,Polonia,1.85,Derecho,19/07/2022,Bayern Múnich,30/06/2026,"15,00 mill. €"
18,Pau Víctor,Delantero centro,23,España,1.84,Derecho,24/07/2024,Girona FC,30/06/2029,"5,00 mill. €"
